LY	2025-01-01	TLV	JFK	https://www.elal.com/flight-search?departure=TLV&arrival=JFK&departureDate=2025-01-01
LY	2025-02-01	TLV	JFK	https://www.elal.com/flight-search?departure=TLV&arrival=JFK&departureDate=2025-02-01
TK	2025-01-01	IST	TLV	https://www.turkishairlines.com/en-int/flights/booking/?origin=IST&destination=TLV&departureDate=2025-01-01
TK	2025-02-01	IST	TLV	https://www.turkishairlines.com/en-int/flights/booking/?origin=IST&destination=TLV&departureDate=2025-02-01
EK	2025-01-01	DXB	JFK	https://www.emirates.com/booking/search-flight/?from=DXB&to=JFK&departureDate=2025-01-01
EK	2025-02-01	DXB	JFK	https://www.emirates.com/booking/search-flight/?from=DXB&to=JFK&departureDate=2025-02-01
RJ	2025-01-01	AMM	TLV	https://www.rj.com/en/book?origin=AMM&destination=TLV&departureDate=2025-01-01&tripType=OW
RJ	2025-02-01	AMM	TLV	https://www.rj.com/en/book?origin=AMM&destination=TLV&departureDate=2025-02-01&tripType=OW
ET	2025-01-01	ADD	TLV	https://www.ethiopianairlines.com/booking/flight-search?origin=ADD&destination=TLV&departureDate=2025-01-01
ET	2025-02-01	ADD	TLV	https://www.ethiopianairlines.com/booking/flight-search?origin=ADD&destination=TLV&departureDate=2025-02-01
FZ	2025-01-01	DXB	TLV	https://www.flydubai.com/en/plan/booking/#/search/DXB-TLV/2025-01-01
FZ	2025-02-01	DXB	TLV	https://www.flydubai.com/en/plan/booking/#/search/DXB-TLV/2025-02-01
SU	2025-01-01	SVO	JFK	https://www.aeroflot.com/sb/booking/flight-search?origin=SVO&destination=JFK&departureDate=2025-01-01
SU	2025-02-01	SVO	JFK	https://www.aeroflot.com/sb/booking/flight-search?origin=SVO&destination=JFK&departureDate=2025-02-01
OS	2025-01-01	VIE	TLV	https://www.austrian.com/en/flight/offer?origin=VIE&destination=TLV&outboundDate=2025-01-01
OS	2025-02-01	VIE	TLV	https://www.austrian.com/en/flight/offer?origin=VIE&destination=TLV&outboundDate=2025-02-01
LH	2025-01-01	FRA	TLV	https://www.lufthansa.com/booking/flight-selection?origin=FRA&destination=TLV&outboundDate=2025-01-01
LH	2025-02-01	FRA	TLV	https://www.lufthansa.com/booking/flight-selection?origin=FRA&destination=TLV&outboundDate=2025-02-01
AF	2025-01-01	CDG	TLV	https://wwws.airfrance.com/search?from=CDG&to=TLV&date=2025-01-01
AF	2025-02-01	CDG	TLV	https://wwws.airfrance.com/search?from=CDG&to=TLV&date=2025-02-01
KL	2025-01-01	AMS	TLV	https://www.klm.com/search?from=AMS&to=TLV&date=2025-01-01
KL	2025-02-01	AMS	TLV	https://www.klm.com/search?from=AMS&to=TLV&date=2025-02-01
BA	2025-01-01	LHR	TLV	https://www.britishairways.com/travel/flight-search/public/en_us?from=LHR&to=TLV&depart=2025-01-01
BA	2025-02-01	LHR	TLV	https://www.britishairways.com/travel/flight-search/public/en_us?from=LHR&to=TLV&depart=2025-02-01
QR	2025-01-01	DOH	TLV	https://www.qatarairways.com/app/booking/flight-selection?fromStation=DOH&toStation=TLV&outboundDate=2025-01-01
QR	2025-02-01	DOH	TLV	https://www.qatarairways.com/app/booking/flight-selection?fromStation=DOH&toStation=TLV&outboundDate=2025-02-01
EY	2025-01-01	AUH	TLV	https://www.etihad.com/en/book/flights?from=AUH&to=TLV&departureDate=2025-01-01
EY	2025-02-01	AUH	TLV	https://www.etihad.com/en/book/flights?from=AUH&to=TLV&departureDate=2025-02-01
NH	2025-01-01	HND	LAX	https://www.ana.co.jp/en/us/book/flight?departure=HND&arrival=LAX&departureDate=2025-01-01
NH	2025-02-01	HND	LAX	https://www.ana.co.jp/en/us/book/flight?departure=HND&arrival=LAX&departureDate=2025-02-01
SQ	2025-01-01	SIN	LHR	https://www.singaporeair.com/en_UK/us/plan-travel/booking?from=SIN&to=LHR&departDate=2025-01-01
SQ	2025-02-01	SIN	LHR	https://www.singaporeair.com/en_UK/us/plan-travel/booking?from=SIN&to=LHR&departDate=2025-02-01
CX	2025-01-01	HKG	LHR	https://www.cathaypacific.com/cx/en_US/book-a-trip/flights/booking?origin=HKG&destination=LHR&depart-date=2025-01-01
CX	2025-02-01	HKG	LHR	https://www.cathaypacific.com/cx/en_US/book-a-trip/flights/booking?origin=HKG&destination=LHR&depart-date=2025-02-01
TG	2025-01-01	BKK	TLV	https://www.thaiairways.com/en/book-a-flight/flight-search?origin=BKK&destination=TLV&departureDate=2025-01-01
TG	2025-02-01	BKK	TLV	https://www.thaiairways.com/en/book-a-flight/flight-search?origin=BKK&destination=TLV&departureDate=2025-02-01
AI	2025-01-01	DEL	LHR	https://www.airindia.com/booking/flight-search?from=DEL&to=LHR&departureDate=2025-01-01
AI	2025-02-01	DEL	LHR	https://www.airindia.com/booking/flight-search?from=DEL&to=LHR&departureDate=2025-02-01
HU	2025-01-01	PEK	LAX	https://www.hainanairlines.com/US/GB/book-flights?origin=PEK&destination=LAX&departureDate=2025-01-01
HU	2025-02-01	PEK	LAX	https://www.hainanairlines.com/US/GB/book-flights?origin=PEK&destination=LAX&departureDate=2025-02-01
CZ	2025-01-01	CAN	LAX	https://www.csair.com/en/booking/flight-search?from=CAN&to=LAX&departureDate=2025-01-01
CZ	2025-02-01	CAN	LAX	https://www.csair.com/en/booking/flight-search?from=CAN&to=LAX&departureDate=2025-02-01
MU	2025-01-01	PVG	CDG	https://www.chinaeasternairlines.com/en/booking/flight-search?from=PVG&to=CDG&departureDate=2025-01-01
MU	2025-02-01	PVG	CDG	https://www.chinaeasternairlines.com/en/booking/flight-search?from=PVG&to=CDG&departureDate=2025-02-01
3U	2025-01-01	CTU	SZX	https://www.sichuanair.com/en/booking/flights?origin=CTU&destination=SZX&departureDate=2025-01-01
3U	2025-02-01	CTU	SZX	https://www.sichuanair.com/en/booking/flights?origin=CTU&destination=SZX&departureDate=2025-02-01
HY	2025-01-01	TAS	IST	https://www.uzairways.com/en/booking/flights?origin=TAS&destination=IST&departureDate=2025-01-01
HY	2025-02-01	TAS	IST	https://www.uzairways.com/en/booking/flights?origin=TAS&destination=IST&departureDate=2025-02-01
AA	2025-01-01	JFK	LAX	https://www.aa.com/booking/find-flights?tripType=oneway&origin=JFK&destination=LAX&departDate=2025-01-01
AA	2025-02-01	JFK	LAX	https://www.aa.com/booking/find-flights?tripType=oneway&origin=JFK&destination=LAX&departDate=2025-02-01
UA	2025-01-01	EWR	TLV	https://www.united.com/en/us/fsr/choose-flights?f=EWR&t=TLV&d=2025-01-01&tt=1
UA	2025-02-01	EWR	TLV	https://www.united.com/en/us/fsr/choose-flights?f=EWR&t=TLV&d=2025-02-01&tt=1
DL	2025-01-01	ATL	JFK	https://www.delta.com/flight-search/search?tripType=ONE_WAY&originCity=ATL&destinationCity=JFK&departureDate=2025-01-01
DL	2025-02-01	ATL	JFK	https://www.delta.com/flight-search/search?tripType=ONE_WAY&originCity=ATL&destinationCity=JFK&departureDate=2025-02-01
WN	2025-01-01	DAL	LAX	https://www.southwest.com/air/booking/select.html?originationAirportCode=DAL&destinationAirportCode=LAX&departureDate=2025-01-01
WN	2025-02-01	DAL	LAX	https://www.southwest.com/air/booking/select.html?originationAirportCode=DAL&destinationAirportCode=LAX&departureDate=2025-02-01
AS	2025-01-01	SEA	LAX	https://www.alaskaair.com/planbook/shopping?o=SEA&d=LAX&depDate=2025-01-01&tripType=oneway
AS	2025-02-01	SEA	LAX	https://www.alaskaair.com/planbook/shopping?o=SEA&d=LAX&depDate=2025-02-01&tripType=oneway
